dt,E2-TH-1-D-01-TEMP,E2-TH-1-D-02-TEMP,E2-TH-1-D-03-TEMP
2026-02-14 10:00:02.001000+07:00,29.6,,
2026-02-14 10:05:01.001000+07:00,29.3,,
2026-02-14 10:10:01.001000+07:00,29.5,,
2026-02-14 10:15:01.001000+07:00,29.6,,
2026-02-14 10:20:01.001000+07:00,29.6,,
2026-02-14 10:25:01.001000+07:00,29.6,,
2026-02-14 10:30:01.001000+07:00,29.5,,
2026-02-14 10:35:01.001000+07:00,29.5,,
2026-02-14 10:40:01.001000+07:00,29.6,,
2026-02-14 10:45:01.001000+07:00,29.5,,
2026-02-14 10:50:02.001000+07:00,29.4,,
2026-02-14 10:55:01.001000+07:00,29.7,,
2026-02-14 11:00:01.001000+07:00,29.8,,
2026-02-14 11:05:01.001000+07:00,29.5,,
2026-02-14 11:10:01.001000+07:00,29.5,,
2026-02-14 11:15:01.001000+07:00,29.5,,
2026-02-14 11:20:01.001000+07:00,29.6,,
2026-02-14 11:25:01.001000+07:00,29.6,,
2026-02-14 11:30:02.001000+07:00,29.7,,
2026-02-14 11:35:01.001000+07:00,29.7,,
2026-02-14 11:40:01.001000+07:00,29.9,,
2026-02-14 11:45:01.001000+07:00,29.9,,
2026-02-14 11:50:01.001000+07:00,29.9,,
2026-02-14 11:55:01.001000+07:00,29.9,,
2026-02-14 12:00:02.001000+07:00,29.8,,
2026-02-14 12:05:01.001000+07:00,29.6,,
2026-02-14 12:10:01.001000+07:00,29.7,,
2026-02-14 12:15:01.001000+07:00,29.5,,
2026-02-14 12:20:01.001000+07:00,29.8,,
2026-02-14 12:25:01.001000+07:00,29.8,,
2026-02-14 12:30:01.001000+07:00,29.5,,
2026-02-14 12:35:01.001000+07:00,29.5,,
2026-02-14 12:40:01.001000+07:00,29.7,,
2026-02-14 12:45:01.001000+07:00,29.6,,
2026-02-14 12:50:01.001000+07:00,29.5,,
2026-02-14 12:55:01.001000+07:00,29.5,,
2026-02-14 13:00:01.001000+07:00,29.8,,
2026-02-14 13:05:01.001000+07:00,29.5,,
2026-02-14 13:10:01.001000+07:00,29.6,,
2026-02-14 13:15:01.001000+07:00,29.8,,
2026-02-14 13:20:01.001000+07:00,29.8,,
2026-02-14 13:25:01.001000+07:00,29.5,,
2026-02-14 13:30:01.001000+07:00,29.5,,
2026-02-14 13:35:01.001000+07:00,29.5,,
2026-02-14 13:40:01.001000+07:00,29.7,,
2026-02-14 13:45:01.001000+07:00,29.8,,
2026-02-14 13:50:01.001000+07:00,29.9,,
2026-02-14 13:55:01.001000+07:00,29.6,,
2026-02-14 14:00:01.001000+07:00,29.8,,
2026-02-14 14:05:01.001000+07:00,30.0,,
2026-02-14 14:10:01.001000+07:00,29.7,,
2026-02-14 14:15:01.001000+07:00,29.9,,
2026-02-14 14:20:01.001000+07:00,29.9,,
2026-02-14 14:25:01.001000+07:00,30.0,,
2026-02-14 14:30:01.001000+07:00,29.9,,
2026-02-14 14:35:01.001000+07:00,29.9,,
2026-02-14 14:40:01.001000+07:00,29.8,,
2026-02-14 14:45:01.001000+07:00,30.1,,
2026-02-14 14:50:02.001000+07:00,29.8,,
2026-02-14 14:55:01.001000+07:00,30.2,,
2026-02-14 15:00:01.001000+07:00,30.1,,
2026-02-14 15:05:01.001000+07:00,29.9,,
2026-02-14 15:10:01.001000+07:00,29.8,,
2026-02-14 15:15:01.001000+07:00,29.9,,
2026-02-14 15:20:01.001000+07:00,30.2,,
2026-02-14 15:25:01.001000+07:00,30.1,,
2026-02-14 15:30:02.001000+07:00,30.0,,
2026-02-14 15:35:01.001000+07:00,30.0,,
2026-02-14 15:40:01.001000+07:00,29.9,,
2026-02-14 15:45:01.001000+07:00,29.8,,
2026-02-14 15:50:01.001000+07:00,29.9,,
2026-02-14 15:55:01.001000+07:00,29.9,,
2026-02-14 16:00:02.001000+07:00,30.1,,
2026-02-14 16:05:01.001000+07:00,29.9,,
2026-02-14 16:10:01.001000+07:00,30.0,,
2026-02-14 16:15:01.001000+07:00,30.2,,
2026-02-14 16:20:01.001000+07:00,29.9,,
2026-02-14 16:25:01.001000+07:00,30.1,,
2026-02-14 16:30:01.001000+07:00,30.0,,
2026-02-14 16:35:01.001000+07:00,29.8,,
2026-02-14 16:40:01.001000+07:00,30.1,,
2026-02-14 16:45:01.001000+07:00,30.0,,
2026-02-14 16:50:01.001000+07:00,29.7,,
2026-02-14 16:55:01.001000+07:00,29.7,,
2026-02-14 17:00:01.001000+07:00,30.1,,
2026-02-14 17:05:01.001000+07:00,30.0,,
2026-02-14 17:10:01.001000+07:00,30.0,,
2026-02-14 17:15:01.001000+07:00,29.7,,
2026-02-14 17:20:01.001000+07:00,29.7,,
2026-02-14 17:25:01.001000+07:00,29.8,,
2026-02-14 17:30:01.001000+07:00,29.7,,
2026-02-14 17:35:02.001000+07:00,30.0,,
2026-02-14 17:40:01.001000+07:00,29.7,,
2026-02-14 17:45:01.001000+07:00,29.9,,
2026-02-14 17:50:01.001000+07:00,29.7,,
2026-02-14 17:55:01.001000+07:00,30.0,,
2026-02-14 18:00:02.001000+07:00,30.0,,
2026-02-14 18:05:01.001000+07:00,29.9,,
2026-02-14 18:10:01.001000+07:00,29.7,,
2026-02-14 18:15:01.001000+07:00,29.8,,
2026-02-14 18:20:01.001000+07:00,29.7,,
2026-02-14 18:25:01.001000+07:00,29.9,,
2026-02-14 18:30:01.001000+07:00,29.7,,
2026-02-14 18:35:01.001000+07:00,29.6,,
2026-02-14 18:40:01.001000+07:00,29.7,,
2026-02-14 18:45:01.001000+07:00,29.7,,
2026-02-14 18:50:01.001000+07:00,29.7,,
2026-02-14 18:55:01.001000+07:00,29.6,,
2026-02-14 19:00:01.001000+07:00,29.7,,
2026-02-14 19:05:01.001000+07:00,29.7,,
2026-02-14 19:10:02.001000+07:00,29.9,,
